index,algorithm,time,cpu,matrix_size
531,Numpy,0.00012302398681640625,,37
532,Homemade,0.04016280174255371,,71
533,Numpy,0.04073643684387207,,71
534,Homemade,0.004108428955078125,,33
535,Numpy,0.00010228157043457031,,33
536,Homemade,0.0007464885711669922,,18
537,Numpy,4.792213439941406e-05,,18
538,Homemade,0.003720998764038086,,32
539,Numpy,7.319450378417969e-05,,32
540,Homemade,0.005649089813232422,,37
541,Numpy,8.845329284667969e-05,,37
542,Homemade,1.3828277587890625e-05,,3
543,Numpy,2.2172927856445312e-05,,3
544,Homemade,0.08200931549072266,,88
545,Numpy,0.0002474784851074219,,88
546,Homemade,0.1067814826965332,,99
547,Numpy,0.002318143844604492,,99
548,Homemade,0.05001974105834961,,75
549,Numpy,0.021811485290527344,,75
550,Homemade,0.013892412185668945,,50
551,Numpy,0.0001537799835205078,,50
552,Homemade,0.013793468475341797,,50
553,Numpy,0.0001227855682373047,,50
554,Homemade,0.03748345375061035,,69
555,Numpy,0.04283595085144043,,69
556,Homemade,0.0020923614501953125,,26
557,Numpy,8.845329284667969e-05,,26
558,Homemade,6.723403930664062e-05,,7
559,Numpy,3.504753112792969e-05,,7
560,Homemade,0.008389472961425781,,42
561,Numpy,9.655952453613281e-05,,42
562,Homemade,0.0014595985412597656,,23
563,Numpy,5.054473876953125e-05,,23
564,Homemade,0.007166862487792969,,40
565,Numpy,9.131431579589844e-05,,40
566,Homemade,0.008227825164794922,,42
567,Numpy,8.940696716308594e-05,,42
568,Homemade,4.57763671875e-05,,6
569,Numpy,2.4557113647460938e-05,,6
570,Homemade,0.04242062568664551,,73
571,Numpy,0.01349496841430664,,73
572,Homemade,0.03783249855041504,,64
573,Numpy,0.008335113525390625,,64
574,Homemade,9.1552734375e-05,,8
575,Numpy,7.295608520507812e-05,,8
576,Homemade,0.12958717346191406,,91
577,Numpy,0.015683889389038086,,91
578,Homemade,0.031302690505981445,,66
579,Numpy,0.00021982192993164062,,66
580,Homemade,0.008249998092651367,,42
581,Numpy,0.0008211135864257812,,42
582,Homemade,0.0028548240661621094,,29
583,Numpy,0.03142595291137695,,29
584,Homemade,4.744529724121094e-05,,6
585,Numpy,4.935264587402344e-05,,6
586,Homemade,0.010257244110107422,,45
587,Numpy,0.00011157989501953125,,45
588,Homemade,0.029790163040161133,,65
589,Numpy,0.00034880638122558594,,65
590,Homemade,0.0022878646850585938,,27
591,Numpy,0.005852222442626953,,27
592,Homemade,0.09257316589355469,,93
593,Numpy,0.015281915664672852,,93
594,Homemade,0.016588687896728516,,23
595,Numpy,0.00012993812561035156,,23
596,Homemade,0.02588820457458496,,62
597,Numpy,0.0001671314239501953,,62
598,Homemade,0.056818485260009766,,76
599,Numpy,0.002542257308959961,,76
600,Homemade,0.03401923179626465,,68
601,Numpy,0.000986337661743164,,68
602,Homemade,0.0044097900390625,,34
603,Numpy,0.003458738327026367,,34
604,Homemade,0.05742835998535156,,76
605,Numpy,0.0002262592315673828,,76
606,Homemade,0.008832693099975586,,43
607,Numpy,0.03338623046875,,43
608,Homemade,0.04883694648742676,,77
609,Numpy,0.026720285415649414,,77
610,Homemade,0.0008726119995117188,,19
611,Numpy,0.0003783702850341797,,19
612,Homemade,0.0026557445526123047,,28
613,Numpy,0.03420233726501465,,28
614,Homemade,0.0014922618865966797,,23
615,Numpy,0.0174407958984375,,23
616,Homemade,0.039205312728881836,,65
617,Numpy,0.005169868469238281,,65
618,Homemade,0.024665117263793945,,53
619,Numpy,0.0018222332000732422,,53
620,Homemade,0.00910329818725586,,41
621,Numpy,0.014569282531738281,,41
622,Homemade,0.08519244194030762,,84
623,Numpy,0.034212350845336914,,84
624,Homemade,0.0064754486083984375,,38
625,Numpy,0.0001327991485595703,,38
626,Homemade,0.08301520347595215,,90
627,Numpy,0.004694938659667969,,90
628,Homemade,0.00400090217590332,,33
629,Numpy,0.006939888000488281,,33
630,Homemade,0.0525662899017334,,77
631,Numpy,0.000232696533203125,,77
632,Homemade,0.05160951614379883,,78
633,Numpy,0.00019502639770507812,,78
634,Homemade,0.03075385093688965,,63
635,Numpy,0.004004955291748047,,63
636,Homemade,0.00044655799865722656,,15
637,Numpy,5.269050598144531e-05,,15
638,Homemade,0.0704493522644043,,79
639,Numpy,0.018999576568603516,,79
640,Homemade,0.0037627220153808594,,32
641,Numpy,0.00010085105895996094,,32
642,Homemade,0.0014483928680419922,,23
643,Numpy,5.14984130859375e-05,,23
644,Homemade,0.06338763236999512,,83
645,Numpy,0.0054094791412353516,,83
646,Homemade,0.06265044212341309,,83
647,Numpy,0.025391340255737305,,83
648,Homemade,0.03216814994812012,,66
649,Numpy,0.00020241737365722656,,66
650,Homemade,0.09043645858764648,,80
651,Numpy,0.002893686294555664,,80
652,Homemade,0.0003113746643066406,,13
653,Numpy,0.00011038780212402344,,13
654,Homemade,0.0446012020111084,,61
655,Numpy,0.004157066345214844,,61
656,Homemade,0.004335165023803711,,31
657,Numpy,0.00012946128845214844,,31
658,Homemade,0.003658771514892578,,29
659,Numpy,8.702278137207031e-05,,29
660,Homemade,0.00031304359436035156,,12
661,Numpy,4.935264587402344e-05,,12
662,Homemade,0.04912114143371582,,67
663,Numpy,0.007077217102050781,,67
664,Homemade,4.57763671875e-05,,5
665,Numpy,5.221366882324219e-05,,5
666,Homemade,0.009744405746459961,,40
667,Numpy,0.0069942474365234375,,40
668,Homemade,0.028698444366455078,,58
669,Numpy,0.0008420944213867188,,58
